Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Wainuiomata,Wainuiomata,2000-01-01,2026-06-01,7.04%,direct,"Between January 2000 and June 2026, Wainuiomata achieved a capital growth of 7.04%.",,"Between January 2000 and June 2026, Wainuiomata achieved a capital growth of 7.04%."
Wainuiomata Coast,Wainuiomata Coast,2000-01-01,2026-06-01,5.72%,calculated,,"The exact capital growth data for Wainuiomata Coast was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%.","The exact capital growth data for Wainuiomata Coast was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%."
Waitaha Cove,Waitaha Cove,2000-01-01,2026-06-01,5.50%,calculated,,"The exact capital growth data for Waitaha Cove was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.50%.","The exact capital growth data for Waitaha Cove was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.50%."
Waitangirua,Waitangirua,2000-01-01,2026-06-01,7.92%,direct,"Between January 2000 and June 2026, Waitangirua achieved a capital growth of 7.92%.",,"Between January 2000 and June 2026, Waitangirua achieved a capital growth of 7.92%."
Waiwhetu,Waiwhetu,2000-01-01,2026-06-01,5.57%,direct,"Between January 2000 and June 2026, Waiwhetu achieved a capital growth of 5.57%.",,"Between January 2000 and June 2026, Waiwhetu achieved a capital growth of 5.57%."
Wallaceville,Wallaceville,2000-01-01,2026-06-01,6.73%,direct,"Between January 2000 and June 2026, Wallaceville achieved a capital growth of 6.73%.",,"Between January 2000 and June 2026, Wallaceville achieved a capital growth of 6.73%."
Waterloo,Waterloo,2000-01-01,2026-06-01,5.13%,direct,"Between January 2000 and June 2026, Waterloo achieved a capital growth of 5.13%.",,"Between January 2000 and June 2026, Waterloo achieved a capital growth of 5.13%."
Wellington Central,Wellington Central,2000-01-01,2026-06-01,2.57%,direct,"Between January 2000 and June 2026, Wellington Central achieved a capital growth of 2.57%.",,"Between January 2000 and June 2026, Wellington Central achieved a capital growth of 2.57%."
Whitby,Whitby,2000-01-01,2026-06-01,4.91%,direct,"Between January 2000 and June 2026, Whitby achieved a capital growth of 4.91%.",,"Between January 2000 and June 2026, Whitby achieved a capital growth of 4.91%."
Wilton,Wilton,2000-01-01,2026-06-01,5.13%,direct,"Between January 2000 and June 2026, Wilton achieved a capital growth of 5.13%.",,"Between January 2000 and June 2026, Wilton achieved a capital growth of 5.13%."
Woburn,Woburn,2000-01-01,2026-06-01,4.75%,direct,"Between January 2000 and June 2026, Woburn achieved a capital growth of 4.75%.",,"Between January 2000 and June 2026, Woburn achieved a capital growth of 4.75%."
Woodridge,Woodridge,2000-01-01,2026-06-01,5.75%,calculated,,"The exact capital growth data for Woodridge was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.75%.","The exact capital growth data for Woodridge was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.75%."
York Bay,York Bay,2000-01-01,2026-06-01,7.04%,calculated,,"The exact capital growth data for York Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%.","The exact capital growth data for York Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 7.04%."
