Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,5-14,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,5-14,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,15-29,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,15-29,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,15-29,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,30-64,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,30-64,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,30-64,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,65+,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,65+,0.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,65+,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,Total,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Age group,Total,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,5-14,33,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,5-14,50.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Age group,5-14,36.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,15-29,45.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,15-29,52,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Age group,15-29,48.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,30-64,27,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Age group,30-64,41.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Age group,30-64,29.4,percentage,% of people where information available,
